ik,I,Ik ben een student.,I am a student.
tot straks,see you later (today),Tot straks bij de afspraak.,See you later at the appointment.
tot morgen,see you tomorrow,Tot morgen op school.,See you tomorrow at school.
doei,bye,Doei ik ga nu weg.,Bye I'm leaving now.
informatie,information,Ik zoek informatie over de trein.,I am looking for information about the train.
bericht,message,Ik heb je bericht gelezen.,I read your message.
telefoontje,phone call,Ik moet even een telefoontje plegen.,I need to make a phone call.
gesprek,conversation,We hadden een goed gesprek.,We had a good conversation.
uitleg,explanation,Bedankt voor de duidelijke uitleg.,Thanks for the clear explanation.
advies,advice,Kan je me advies geven?,Can you give me advice?
tip,tip / hint,Heb je een goede tip voor mij?,Do you have a good tip for me?
verhaal,story,Dat is een heel lang verhaal.,That is a very long story.
nieuws,news,Heb je het laatste nieuws gehoord?,Have you heard the latest news?
krant,newspaper,De krant ligt op tafel.,The newspaper is on the table.
artikel,article,Ik lees een interessant artikel.,I am reading an interesting article.
tijdschrift,magazine,Dit tijdschrift verschijnt wekelijks.,This magazine appears weekly.
advertentie,advertisement,Ik zag een advertentie in de krant.,I saw an advertisement in the newspaper.
reclame,commercial / advertising,Er is te veel reclame op tv.,There is too much advertising on TV.
kanaal,channel,Op welk kanaal is de film?,On which channel is the movie?
programma,program,Wat is je favoriete programma?,What is your favorite program?
radio,radio,Ik luister naar de radio.,I am listening to the radio.
internet,internet,Het internet werkt niet goed.,The internet is not working well.
website,website,De website is erg gebruiksvriendelijk.,The website is very user-friendly.
link,link,Klik op de link in de mail.,Click on the link in the email.
wachtwoord,password,Vergeet je wachtwoord niet.,Don't forget your password.
gebruikersnaam,username,Wat is je gebruikersnaam?,What is your username?
inloggen,to log in,Je moet eerst inloggen.,You have to log in first.
uitloggen,to log out,Vergeet niet uit te loggen.,Don't forget to log out.
downloaden,to download,Ik ga de foto downloaden.,I am going to download the photo.
uploaden,to upload,Kan je dit bestand uploaden?,Can you upload this file?
bestand,file,Het bestand is te groot.,The file is too big.
map,folder,Sla het op in de juiste map.,Save it in the right folder.
e-mail,email,Ik stuur je een e-mail.,I will send you an email.
bijlage,attachment,De bijlage zit in de mail.,The attachment is in the email.
sociale media,social media,Zit jij op sociale media?,Are you on social media?
profiel,profile,Pas je profiel aan.,Adjust your profile.
delen,to share,Ik wil deze foto met je delen.,I want to share this photo with you.
plaatsen,to post / place,Ik ga een bericht plaatsen.,I am going to post a message.
reageren,to react / reply,Ik zal snel reageren.,I will react/reply soon.
liken,to like (social media),Vergeet niet te liken!,Don't forget to like!
volgen,to follow,Ik volg hem op internet.,I follow him on the internet.
app,app,Ik gebruik een handige app.,I use a handy app.
scherm,screen,Kijk niet te veel naar het scherm.,Don't look at the screen too much.
toetsenbord,keyboard,Mijn toetsenbord is vies.,My keyboard is dirty.
muis,mouse,De muis reageert niet.,The mouse is not responding.
laptop,laptop,Ik neem mijn laptop mee.,I am taking my laptop with me.
tablet,tablet,Ik lees op mijn tablet.,I read on my tablet.
printer,printer,De printer heeft geen inkt meer.,The printer has no more ink.
kopiëren,to copy,Kan je dit document kopiëren?,Can you copy this document?
scannen,to scan,Ik moet dit formulier scannen.,I need to scan this form.
foto,photo,Maak een mooie foto.,Take a beautiful photo.
camera,camera,Mijn camera maakt goede foto's.,My camera takes good photos.
video,video,Ik bekijk een korte video.,I am watching a short video.
geluid,sound,Het geluid is te hard.,The sound is too loud.
hoofdtelefoon,headphones,Ik gebruik een hoofdtelefoon.,I am using headphones.
speaker,speaker,De speakers zijn van goede kwaliteit.,The speakers are of good quality.
batterij,battery,Mijn batterij is bijna leeg.,My battery is almost empty.
oplader,charger,Waar is mijn oplader?,Where is my charger?
stopcontact,socket,Ik zoek een stopcontact.,I am looking for a socket.
wifi,wifi,Wat is het wachtwoord van de wifi?,What is the wifi password?
signaal,signal,Ik heb hier geen signaal.,I have no signal here.
overheid,government,De overheid maakt nieuwe wetten.,The government is making new laws.
gemeente,municipality,Ik moet naar de gemeente.,I have to go to the municipality.
stadhuis,city hall,Het stadhuis staat op het plein.,The city hall is on the square.
burgemeester,mayor,De burgemeester hield een toespraak.,The mayor gave a speech.
wet,law,Je moet je aan de wet houden.,You must obey the law.
recht,right / law,Iedereen heeft recht op onderwijs.,Everyone has the right to education.
plicht,duty / obligation,Het is je plicht om te stemmen.,It is your duty to vote.
belasting,tax,Ik moet veel belasting betalen.,I have to pay a lot of tax.
verzekering,insurance,Heb je een goede verzekering?,Do you have a good insurance?
paspoort,passport,Mijn paspoort is verlopen.,My passport has expired.
identiteitskaart,ID card,Laat je identiteitskaart zien.,Show your ID card.
visum,visa,Ik heb een visum nodig.,I need a visa.
vergunning,permit,Heb je een vergunning voor dit?,Do you have a permit for this?
formulier,form,Vul dit formulier in.,Fill in this form.
handtekening,signature,Zet hier je handtekening.,Put your signature here.
stempel,stamp,De brief heeft een stempel.,The letter has a stamp.
envelop,envelope,Doe de brief in de envelop.,Put the letter in the envelope.
postzegel,postage stamp,Plak een postzegel op de kaart.,Stick a postage stamp on the card.
brievenbus,mailbox,Gooi het in de brievenbus.,Throw it in the mailbox.
pakket,package,Ik verwacht een pakket.,I am expecting a package.
postbode,mailman,De postbode komt elke dag.,The mailman comes every day.
kantoor,office,Ik werk op een kantoor.,I work in an office.
receptie,reception,Meld je bij de receptie.,Report to the reception.
wachtkamer,waiting room,Neem plaats in de wachtkamer.,Take a seat in the waiting room.
afspraak,appointment,Ik heb een afspraak om drie uur.,I have an appointment at three o'clock.
agenda,calendar / agenda,Kijk in je agenda.,Look in your agenda.
notitie,note,Maak een korte notitie.,Make a short note.
vergadering,meeting,De vergadering duurt lang.,The meeting lasts long.
collega,colleague,Mijn collega is erg behulpzaam.,My colleague is very helpful.
baas,boss,Mijn baas is tevreden.,My boss is satisfied.
werknemer,employee,Hij is een goede werknemer.,He is a good employee.
werkgever,employer,Zij is een fijne werkgever.,She is a nice employer.
bedrijf,company,Het bedrijf groeit snel.,The company is growing fast.
afdeling,department,Op welke afdeling werk je?,In which department do you work?
functie,position / function,Wat is je nieuwe functie?,What is your new position?
salaris,salary,Mijn salaris wordt gestort.,My salary is being deposited.
contract,contract,Ik heb het contract getekend.,I signed the contract.
ontslag,dismissal / resignation,Hij heeft ontslag genomen.,He has resigned.
werkloos,unemployed,Hij is al een jaar werkloos.,He has been unemployed for a year.
pensioen,pension,Mijn opa geniet van zijn pensioen.,My grandpa is enjoying his pension.
ervaring,experience,Heb je veel ervaring?,Do you have a lot of experience?
vaardigheid,skill,Dat is een belangrijke vaardigheid.,That is an important skill.
diploma,diploma,Ik heb mijn diploma gehaald.,I got my diploma.
cursus,course,Ik volg een cursus Nederlands.,I am following a Dutch course.
opleiding,education / training,Zij volgt een zware opleiding.,She is following a tough education.
examen,exam,Het examen was erg moeilijk.,The exam was very difficult.
toets,test,We hebben straks een wiskunde toets.,We have a math test later.
cijfer,grade / number,Ik heb een goed cijfer voor mijn test.,I have a good grade for my test.
succes,success,Ik wens je veel succes.,I wish you much success.
mislukking,failure,Het was een grote mislukking.,It was a big failure.
kans,chance / opportunity,Dit is een unieke kans.,This is a unique opportunity.
mogelijkheid,possibility,Er is een mogelijkheid.,There is a possibility.
besluit,decision,Het besluit is genomen.,The decision is made.
keuze,choice,Je hebt een moeilijke keuze.,You have a difficult choice.
gefeliciteerd,congratulations,Gefeliciteerd met het resultaat.,Congratulations on the result.
hout,wood,De tafel is van hout.,The table is made of wood.
metaal,metal,De kast is van metaal.,The cupboard is made of metal.
ijzer,iron,Het hek is van ijzer.,The fence is made of iron.
staal,steel,Een sterke stalen constructie.,A strong steel construction.
koper,copper,Koperen leidingen.,Copper pipes.
goud,gold,Een gouden ring.,A gold ring.
zilver,silver,Zilveren bestek.,Silver cutlery.
plastic,plastic,Een plastic tasje.,A plastic bag.
kunststof,synthetic material / plastic,De ramen zijn van kunststof.,The windows are made of synthetic material.
glas,glass,Pas op voor het gebroken glas.,Watch out for the broken glass.
papier,paper,Schrijf het op papier.,Write it on paper.
karton,cardboard,Een doos van karton.,A box made of cardboard.
steen,stone,Een muur van steen.,A wall of stone.
beton,concrete,De vloer is van beton.,The floor is made of concrete.
baksteen,brick,Rode bakstenen.,Red bricks.
zand,sand,Zand op de vloer.,Sand on the floor.
klei,clay,Potten bakken van klei.,Making pots from clay.
stof,fabric / dust,Er ligt veel stof op de kast.,There is a lot of dust on the cupboard.
wol,wool,Een warme trui van wol.,A warm sweater made of wool.
katoen,cotton,Een shirt van katoen.,A shirt made of cotton.
zijde,silk,Een sjaal van zijde.,A scarf made of silk.
leer,leather,Leren schoenen.,Leather shoes.
rubber,rubber,De banden zijn van rubber.,The tires are made of rubber.
verf,paint,De verf moet drogen.,The paint needs to dry.
lijm,glue,De lijm plakt niet goed.,The glue is not sticking well.
olie,oil,Olie voor de motor.,Oil for the engine.
benzine,gasoline,Ik moet benzine tanken.,I need to refuel gasoline.
gas,gas,Koken op gas.,Cooking on gas.
elektriciteit,electricity,De elektriciteit is uitgevallen.,The electricity has failed.
energie,energy,We moeten energie besparen.,We must save energy.
kracht,power / force,Hij heeft veel kracht.,He has a lot of power.
vorm,shape,Wat is de vorm van de tafel?,What is the shape of the table?
rond,round,De aarde is rond.,The earth is round.
vierkant,square,Een vierkant blok.,A square block.
rechthoek,rectangle,Een rechthoekig vel papier.,A rectangular sheet of paper.
driehoek,triangle,Een driehoek heeft drie hoeken.,A triangle has three corners.
cirkel,circle,Teken een cirkel.,Draw a circle.
lijn,line,Trek een rechte lijn.,Draw a straight line.
punt,point / dot,Zet een punt achter de zin.,Put a dot at the end of the sentence.
hoek,corner / angle,In de hoek van de kamer.,In the corner of the room.
midden,middle,In het midden van de stad.,In the middle of the city.
kant,side,Aan de andere kant van de weg.,On the other side of the road.
rand,edge,De rand van de tafel.,The edge of the table.
oppervlakte,surface area,De oppervlakte van de kamer.,The surface area of the room.
inhoud,content / volume,De inhoud van de fles.,The content of the bottle.
gewicht,weight,Wat is je gewicht?,What is your weight?
lengte,length / height (person),Wat is je lengte?,What is your height?
breedte,width,De breedte van de deur.,The width of the door.
hoogte,height,De hoogte van de berg.,The height of the mountain.
diepte,depth,De diepte van de rivier.,The depth of the river.
maat,size,Welke maat heb je?,What size do you have?
hoeveelheid,amount / quantity,Een grote hoeveelheid geld.,A large amount of money.
totaal,total,Wat is het totaal?,What is the total?
gemiddelde,average,Het gemiddelde cijfer.,The average grade.
procent,percent,Tien procent korting.,Ten percent discount.
helft,half,De helft van de appel.,Half of the apple.
kwart,quarter,Een kwartier wachten.,Waiting for a quarter of an hour.
stuk,piece,Een stuk taart.,A piece of cake.
beetje,bit / little,Een beetje suiker graag.,A little sugar please.
genoeg,enough,Dat is genoeg.,That is enough.
veel,much / many,Ik heb veel werk.,I have much work.
weinig,little / few,Er is weinig tijd.,There is little time.
meer,more,Ik wil meer weten.,I want to know more.
minder,less,Minder praten en meer doen.,Talk less and do more.
enkele,some / a few,Enkele mensen kwamen opdagen.,A few people showed up.
sommige,some,Sommige honden bijten.,Some dogs bite.
elkaar,each other,Wij helpen elkaar.,We help each other.
beide,both,Ik wil ze beide hebben.,I want to have them both.
allemaal,all (of us/them),We gaan allemaal mee.,We are all going along.
iedereen,everyone,Iedereen is welkom.,Everyone is welcome.
alles,everything,Ik heb alles gedaan.,I have done everything.
niemand,nobody,Er was niemand thuis.,Nobody was home.
niets,nothing,Ik weet niets.,I know nothing.
iets,something,Ik wil iets vragen.,I want to ask something.
ergens,somewhere,Het moet ergens liggen.,It must lie somewhere.
nergens,nowhere,Ik kan het nergens vinden.,I can find it nowhere.
overal,everywhere,Het ligt overal.,It lies everywhere.
interessant,interesting,Een interessant boek.,An interesting book.
saai,boring,Een saaie film.,A boring film.
belangrijk,important,Een belangrijke afspraak.,An important appointment.
nodig,necessary,Hulp is nodig.,Help is necessary.
mogelijk,possible,Alles is mogelijk.,Everything is possible.
onmogelijk,impossible,Dat is onmogelijk.,That is impossible.
waarschijnlijk,probable,Het gaat waarschijnlijk regenen.,It is probably going to rain.
zeker,certain / sure,Ik weet het zeker.,I know for sure.
duidelijk,clear,Een duidelijke uitleg.,A clear explanation.
onduidelijk,unclear,De tekst is onduidelijk.,The text is unclear.
simpel,simple,Een simpel antwoord.,A simple answer.
ingewikkeld,complicated,Een ingewikkelde som.,A complicated sum.
handig,handy / convenient,Een handige tas.,A handy bag.
onhandig,clumsy,Hij is erg onhandig.,He is very clumsy.
gevaarlijk,dangerous,Een gevaarlijke weg.,A dangerous road.
veilig,safe,Een veilige buurt.,A safe neighborhood.
gezond,healthy,Gezond eten.,Healthy food.
ongezond,unhealthy,Een ongezonde gewoonte.,An unhealthy habit.
vers,fresh,Vers brood.,Fresh bread.
vies,dirty / disgusting,Een vies bord.,A dirty plate.
lekker,tasty / nice,Lekker weer.,Nice weather.
warm,warm,Warme thee.,Warm tea.
koud,cold,Koud water.,Cold water.
heet,hot,Hete soep.,Hot soup.
fris,cool / fresh,Frisse lucht.,Fresh air.
milieu,environment,We moeten beter voor het milieu zorgen.,We must take better care of the environment.
natuur,nature,Ik geniet van de rust in de natuur.,I enjoy the peace in nature.
klimaat,climate,Het klimaat verandert snel.,The climate is changing fast.
duurzaam,sustainable,Dit is een duurzame oplossing.,This is a sustainable solution.
energie,energy,Zet de verwarming laag om energie te besparen.,Turn the heating down to save energy.
vervuiling,pollution,Luchtvervuiling is een groot probleem.,Air pollution is a big problem.
afval,waste / trash,Gooi je afval in de prullenbak.,Throw your waste in the trash can.
recyclen,to recycle,Wij moeten ons papier recyclen.,We must recycle our paper.
plastic,plastic,Er zit te veel plastic in de oceaan.,There is too much plastic in the ocean.
bos,forest / woods,Het bos is prachtig in de herfst.,The forest is beautiful in the autumn.
boom,tree,De bladeren vallen van de boom.,The leaves are falling from the tree.
plant,plant,De plant heeft elke dag water nodig.,The plant needs water every day.
bloem,flower,Zij kreeg een bos bloemen.,She received a bunch of flowers.
gras,grass,Het gras is altijd groener bij de buren.,The grass is always greener at the neighbors'.
park,park,Laten we gaan wandelen in het park.,Let's go for a walk in the park.
landschap,landscape,Het Nederlandse landschap is erg plat.,The Dutch landscape is very flat.
polder,polder,Een polder is land dat is drooggelegd.,A polder is land that has been drained.
dijk,dike / levee,De dijk beschermt ons tegen het water.,The dike protects us against the water.
kanaal,canal,Er varen veel boten in het kanaal.,Many boats sail in the canal.
sloot,ditch,De eendjes zwemmen in de sloot.,The ducks are swimming in the ditch.
zee,sea,De Noordzee is vaak erg koud.,The North Sea is often very cold.
strand,beach,Op het strand kun je lekker uitrusten.,On the beach you can rest well.
duin,dune,Wij wandelen graag door de duinen.,We like to walk through the dunes.
wind,wind,Er staat vandaag een harde wind.,There is a strong wind today.
storm,storm,De storm heeft veel schade aangericht.,The storm caused a lot of damage.
onweer,thunderstorm,Ik hou niet van onweer.,I don't like thunderstorms.
bliksem,lightning,De bliksem sloeg in de boom.,The lightning struck the tree.
regen,rain,Het regent al de hele dag.,It has been raining all day.
sneeuw,snow,De kinderen spelen in de sneeuw.,The children are playing in the snow.
zon,sun,De zon schijnt eindelijk.,The sun is finally shining.
wolk,cloud,Er hangt een donkere wolk in de lucht.,There is a dark cloud in the sky.
lucht,sky / air,De lucht is helder blauw.,The sky is clear blue.
temperatuur,temperature,De temperatuur gaat morgen omhoog.,The temperature will go up tomorrow.
graden,degrees,Het is vandaag twintig graden.,It is twenty degrees today.
voorspelling,forecast,De weersvoorspelling is goed.,The weather forecast is good.
zich wassen,to wash oneself,Ik was me elke ochtend.,I wash myself every morning.
zich scheren,to shave oneself,Hij scheert zich om de dag.,He shaves every other day.
zich aankleden,to get dressed,Ik moet me nog snel aankleden.,I still need to get dressed quickly.
zich douchen,to shower,Zij doucht zich na het sporten.,She showers after exercising.
zich haasten,to hurry,We moeten ons haasten voor de trein.,We have to hurry for the train.
zich vergissen,to be mistaken,Ik heb me vergist in de tijd.,I was mistaken about the time.
zich herinneren,to remember,Ik herinner me dat verhaal nog.,I still remember that story.
zich vervelen,to be bored,De kinderen vervelen zich nooit.,The children are never bored.
zich voelen,to feel,Hoe voel je je vandaag?,How do you feel today?
zich voorstellen,to imagine / introduce oneself,Stel je voor dat we winnen!,Imagine that we win!
zich afvragen,to wonder,Ik vraag me af waar zij is.,I wonder where she is.
zich amuseren,to enjoy oneself,Wij hebben ons goed geamuseerd.,We enjoyed ourselves well.
zich gedragen,to behave,Je moet je goed gedragen.,You must behave well.
zich klaarmaken,to get ready,Ik maak me klaar voor het feest.,I am getting ready for the party.
opstaan,to stand up / get up,Ik sta elke dag om zeven uur op.,I get up every day at seven o'clock.
meenemen,to take along,Vergeet niet je paraplu mee te nemen.,Don't forget to take your umbrella along.
schoonmaken,to clean,Ik moet de keuken nog schoonmaken.,I still need to clean the kitchen.
afwassen,to do the dishes,Wie gaat er vanavond afwassen?,Who is going to do the dishes tonight?
opruimen,to tidy up,Ruim je kamer nu op!,Tidy up your room now!
invullen,to fill in,Kunt u dit formulier invullen?,Can you fill in this form?
uitleggen,to explain,Kan de leraar het nog eens uitleggen?,Can the teacher explain it again?
afmaken,to finish,Ik moet dit werk vandaag afmaken.,I have to finish this work today.
uitnodigen,to invite,Zij heeft al haar vrienden uitgenodigd.,She invited all her friends.
aankomen,to arrive / gain weight,Hoe laat komt de trein aan?,What time does the train arrive?
vertrekken,to depart,De bus vertrekt over vijf minuten.,The bus departs in five minutes.
overstappen,to transfer,U moet in Utrecht overstappen.,You have to transfer in Utrecht.
opzoeken,to look up,Ik moet dat woord even opzoeken.,I need to look up that word for a moment.
terugkomen,to come back,Wanneer kom je weer terug?,When are you coming back again?
meegaan,to go along,Wil je met ons meegaan?,Do you want to go along with us?
ophouden,to stop / cease,Hou eens op met dat lawaai!,Stop that noise!
doorgaan,to continue,Laten we doorgaan met de les.,Let's continue with the lesson.
uitgaan,to go out,Wij gaan dit weekend uit.,We are going out this weekend.
meevallen,to be better than expected,De toets viel gelukkig mee.,The test was better than expected.
tegenvallen,to be disappointing,Het weer viel erg tegen.,The weather was very disappointing.
afspreken,to make an appointment / meet up,Zullen we morgen iets afspreken?,Shall we meet up tomorrow?
aanzetten,to turn on,Zet de televisie maar aan.,Just turn on the television.
uitzetten,to turn off,Vergeet niet het licht uit te zetten.,Don't forget to turn off the light.
altijd,always,Ik ben altijd op tijd.,I am always on time.
meestal,usually,Meestal ga ik met de fiets.,Usually I go by bike.
vaak,often,Wij gaan vaak naar de bioscoop.,We often go to the cinema.
regelmatig,regularly,Hij sport regelmatig.,He exercises regularly.
soms,sometimes,Soms eet ik buiten de deur.,Sometimes I eat out.
zelden,seldom / rarely,Ik kijk zelden televisie.,I rarely watch television.
nooit,never,Ik heb dat nooit gezegd.,I never said that.
al,already,Ben je nu al klaar?,Are you already finished now?
nog,still / yet,Ik ben nog niet klaar.,I am not ready yet.
alweer,again / once more,Is het alweer maandag?,Is it Monday again?
pas,only / just,Ik ben pas net wakker.,I just woke up.
eerst,first,Eerst gaan we eten.,First we are going to eat.
daarna,afterwards,Daarna gaan we slapen.,Afterwards we are going to sleep.
toen,then / at that time,Toen was alles anders.,Then everything was different.
dan,then,Als het regent, dan blijf ik thuis.,If it rains, then I stay home.
later,later,Ik bel je later wel.,I'll call you later.
vroeger,in the past / earlier,Vroeger was er geen internet.,In the past there was no internet.
straks,later (today),Ik zie je straks.,I'll see you later today.
daarnet,just now,Ik zag hem daarnet nog.,I saw him just now.
onlangs,recently,Ik heb hem onlangs nog gesproken.,I spoke to him recently.
tegelijkertijd,at the same time,Je kunt niet twee dingen tegelijkertijd doen.,You cannot do two things at the same time.
plotseling,suddenly,Plotseling begon het te regenen.,Suddenly it started to rain.
eindelijk,finally,Eindelijk ben je er!,Finally you are here!
onderweg,on the way,Ik ben nu onderweg naar huis.,I am on my way home now.
overmorgen,day after tomorrow,Ik kom overmorgen bij je langs.,I will visit you the day after tomorrow.
eergisteren,day before yesterday,Eergisteren was het prachtig weer.,The day before yesterday the weather was beautiful.
dagelijks,daily,Dit is een dagelijkse bezigheid.,This is a daily activity.
wekelijks,weekly,Wij doen wekelijks boodschappen.,We do groceries weekly.
maandelijks,monthly,Ik betaal maandelijks de huur.,I pay the rent monthly.
jaarlijks,yearly,Het is een jaarlijks evenement.,It is a yearly event.
samenleving,society,Iedereen maakt deel uit van de samenleving.,Everyone is part of society.
cultuur,culture,Nederland heeft een rijke cultuur.,The Netherlands has a rich culture.
traditie,tradition,Het is een oude traditie.,It is an old tradition.
geloof,faith / belief,Ieder heeft zijn eigen geloof.,Everyone has their own faith.
religie,religion,Welke religie heeft zij?,Which religion does she have?
kerk,church,De kerk staat in het midden van het dorp.,The church stands in the middle of the village.
moskee,mosque,Er is een moskee in de stad.,There is a mosque in the city.
vrijheid,freedom,Vrijheid van meningsuiting.,Freedom of speech.
vrede,peace,Wij willen vrede in de wereld.,We want peace in the world.
oorlog,war,Oorlog is verschrikkelijk.,War is terrible.
veiligheid,safety,Veiligheid staat voorop.,Safety comes first.
gevaar,danger,Kijk uit voor het gevaar!,Watch out for the danger!
hulp,help,Heeft u hulp nodig?,Do you need help?
recht,right / justice,Iedereen heeft recht op een eerlijk proces.,Everyone has a right to a fair trial.
onrecht,injustice,Dit is een groot onrecht.,This is a great injustice.
wet,law,Je moet je aan de wet houden.,You must obey the law.
politie,police,Bel de politie bij een noodgeval.,Call the police in case of an emergency.
boete,fine,Ik kreeg een boete voor te hard rijden.,I got a fine for speeding.
gevangenis,prison,Hij moet naar de gevangenis.,He has to go to prison.
misdaad,crime,Misdaad loont niet.,Crime doesn't pay.
slachtoffer,victim,Zij is het slachtoffer van een diefstal.,She is the victim of a theft.
getuige,witness,Ben jij getuige geweest van het ongeluk?,Were you a witness to the accident?
advocaat,lawyer,Ik heb een advocaat nodig.,I need a lawyer.
rechter,judge,De rechter doet morgen uitspraak.,The judge will give a verdict tomorrow.
overheid,government,De overheid neemt nieuwe maatregelen.,The government is taking new measures.
politiek,politics,Zij is geïnteresseerd in politiek.,She is interested in politics.
verkiezingen,elections,Er zijn binnenkort verkiezingen.,There are elections soon.
stemmen,to vote,Ik ga morgen stemmen.,I am going to vote tomorrow.
partij,party (political),Op welke partij stem jij?,Which party do you vote for?
leider,leader,Hij is de leider van de groep.,He is the leader of the group.
macht,power,Hij heeft veel macht.,He has a lot of power.
invloed,influence,Zij heeft veel invloed op hem.,She has a lot of influence on him.
verschil,difference,Wat is het verschil tussen deze twee?,What is the difference between these two?
overeenkomst,agreement / similarity,Er is een grote overeenkomst.,There is a great similarity.
verhouding,relationship / ratio,De verhouding is één op drie.,The ratio is one to three.
mening,opinion,Wat is jouw mening daarover?,What is your opinion on that?
discussie,discussion,Wij hadden een lange discussie.,We had a long discussion.
afspraak,agreement / appointment,We hebben een afspraak gemaakt.,We made an agreement.
belofte,promise,Houd je aan je belofte.,Keep your promise.
geheim,secret,Dit is een groot geheim.,This is a big secret.
waarheid,truth,Vertel altijd de waarheid.,Always tell the truth.
leugen,lie,Dat is een grote leugen.,That is a big lie.
vertrouwen,trust,Ik heb vertrouwen in je.,I have trust in you.
respect,respect,Toon respect voor anderen.,Show respect for others.
verantwoordelijkheid,responsibility,Dat is jouw verantwoordelijkheid.,That is your responsibility.
plicht,duty,Het is je plicht om te helpen.,It is your duty to help.
keuze,choice,Je hebt een moeilijke keuze.,You have a difficult choice.
beslissing,decision,Ik heb mijn beslissing genomen.,I have made my decision.
gevolg,consequence,Dat heeft grote gevolgen.,That has great consequences.
oorzaak,cause,Wat is de oorzaak van het probleem?,What is the cause of the problem?
doel,goal,Wat is je doel in het leven?,What is your goal in life?
plan,plan,Ik heb een goed plan.,I have a good plan.
succes,success,Ik wens je veel succes!,I wish you much success!
geluk,happiness / luck,Ik wens je veel geluk.,I wish you much happiness.
pech,bad luck,Wat een pech!,What bad luck!
toeval,coincidence,Dat is puur toeval.,That is pure coincidence.
ervaring,experience,Hij heeft veel ervaring.,He has a lot of experience.
kennis,knowledge,Kennis is macht.,Knowledge is power.
vaardigheid,skill,Dat is een belangrijke vaardigheid.,That is an important skill.
talent,talent,Zij heeft veel talent voor muziek.,She has a lot of talent for music.
mogelijkheid,possibility,Er is een mogelijkheid.,There is a possibility.
kans,chance,Grijp je kans!,Seize your chance!
probleem,problem,Dat is een groot probleem.,That is a big problem.
oplossing,solution,We moeten een oplossing vinden.,We must find a solution.
hulp,help,Bedankt voor je hulp.,Thanks for your help.
samenwerking,cooperation,Ik bedank u voor de samenwerking.,I thank you for the cooperation.
vriendschap,friendship,Onze vriendschap is belangrijk.,Our friendship is important.
liefde,love,Liefde is alles wat je nodig hebt.,Love is all you need.
haat,hate,Haat lost niets op.,Hate doesn't solve anything.
pijn,pain,Ik heb veel pijn.,I have a lot of pain.
angst,fear,Angst is een slechte raadgever.,Fear is a bad advisor.
verdriet,sadness / grief,Zij heeft veel verdriet.,She has a lot of grief.
vreugde,joy,Het was een moment van grote vreugde.,It was a moment of great joy.
boosheid,anger,Zijn boosheid was begrijpelijk.,His anger was understandable.
verbazing,surprise,Tot mijn verbazing was hij er.,To my surprise he was there.
bewondering,admiration,Ik heb veel bewondering voor haar.,I have a lot of admiration for her.
twijfel,doubt,Er is geen twijfel mogelijk.,There is no doubt possible.
zekerheid,certainty,Ik wil meer zekerheid.,I want more certainty.
hoop,hope,Er is altijd hoop.,There is always hope.
geduld,patience,Je moet een beetje geduld hebben.,You must have a little patience.
moed,courage,Hij verzamelde al zijn moed.,He gathered all his courage.
trots,pride,Zij keek met trots naar haar zoon.,She looked with pride at her son.
spijt,regret,Ik heb nergens spijt van.,I don't regret anything.
schuld,guilt / debt,Het is niet mijn schuld.,It is not my fault.
schaamte,shame,Zij voelde grote schaamte.,She felt great shame.
nieuwsgierigheid,curiosity,Nieuwsgierigheid is goed.,Curiosity is good.
aandacht,attention,Schenk meer aandacht aan je werk.,Pay more attention to your work.
interesse,interest,Ik heb geen interesse.,I have no interest.
verbeelding,imagination,Hij heeft veel verbeelding.,He has a lot of imagination.
geheugen,memory,Ik heb een slecht geheugen.,I have a bad memory.
gedachte,thought,Dat was een mooie gedachte.,That was a beautiful thought.
idee,idea,Ik heb een goed idee!,I have a good idea!
mening,opinion,Iedereen heeft een mening.,Everyone has an opinion.
overtuiging,conviction,Dat is mijn vaste overtuiging.,That is my firm conviction.
twijfel,doubt,Zonder enige twijfel.,Without any doubt.
begrip,understanding,Bedankt voor uw begrip.,Thank you for your understanding.
verwachting,expectation,Dat is boven verwachting.,That is above expectation.
verbazing,surprise,Groot was mijn verbazing.,Great was my surprise.
herinnering,memory / recollection,Dat is een mooie herinnering.,That is a beautiful memory.
droom,dream,Ik had een nare droom.,I had a bad dream.
wens,wish,Dat is mijn grootste wens.,That is my greatest wish.
gevoel,feeling,Ik heb er een goed gevoel over.,I have a good feeling about it.
stemming,mood,Zij is in een goede stemming.,She is in a good mood.
karakter,character,Hij heeft een sterk karakter.,He has a strong character.
persoonlijkheid,personality,Zij heeft een boeiende persoonlijkheid.,She has a fascinating personality.
gedrag,behavior,Zijn gedrag was vreemd.,His behavior was strange.
gewoonte,habit,Dat is een slechte gewoonte.,That is a bad habit.
traditie,tradition,Het is een familietraditie.,It is a family tradition.
cultuur,culture,Ik hou van de Franse cultuur.,I love French culture.
geschiedenis,history,Ik ben dol op geschiedenis.,I am fond of history.
toekomst,future,De toekomst ziet er rooskleurig uit.,The future looks bright.
verleden,past,Denk niet te veel aan het verleden.,Don't think too much about the past.
heden,present,We leven in het heden.,We live in the present.
werkelijkheid,reality,Dat is de harde werkelijkheid.,That is the harsh reality.
waarheid,truth,Vertel me de hele waarheid.,Tell me the whole truth.
leugen,lie,Dat is een gemene leugen.,That is a mean lie.
feit,fact,Dat is een bekend feit.,That is a known fact.
